C.D.S.  -  SIMBAD4 rel 1.8  -  2025.01.29CET17:13:11

Number of objects : 9018

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
158 |HD 194193                          |*  |20 22 45.2956089144 +41 01 33.645143784|9.51     |7.53     |5.93     |     ~   |     ~   |K7III                |  59 |   0
159 |NAME HD 193702AB                   |** |20 20 15.2178218890 +39 24 11.569865161|     ~   |6.38     |6.33     |     ~   |     ~   |A0V                  |   9 |   0
160 |HD 197392                          |*  |20 41 56.5014626472 +41 43 00.748143012|     ~   |5.550    |5.664    |     ~   |     ~   |B8II-III             |  63 |   0
161 |HD 197139                          |PM*|20 40 03.1592062992 +43 27 31.959372924|     ~   |7.156    |5.965    |     ~   |     ~   |K2III                |  38 |   0
162 |* 57 Cyg                           |SB*|20 53 14.7587928897 +44 23 14.147866955|4.05     |4.63     |4.77     |4.84     |4.97     |B5V                  | 196 |   0
163 |* 60 Cyg                           |Be*|21 01 10.9277453472 +46 09 20.795190696|4.23     |5.226    |5.432    |     ~   |     ~   |B1Ve                 | 208 |   0
164 |HD 199098                          |V* |20 53 18.5691518304 +45 10 54.050823876|     ~   |6.550    |5.462    |     ~   |     ~   |K0II                 |  51 |   0
165 |HD 199870                          |SB*|20 58 19.4663810952 +44 28 18.140900268|     ~   |6.528    |5.547    |     ~   |     ~   |K0III:Fe-0.5         | 107 |   0
166 |HD 200595                          |** |21 02 48.6194776656 +45 50 56.007764448|     ~   |6.348    |6.486    |     ~   |     ~   |B3Vn                 |  62 |   0
167 |V* V1981 Cyg                       |LP*|21 02 24.1997590656 +44 47 27.525392304|9.73     |7.90     |6.23     |4.46     |2.90     |M4.5III              | 114 |   0
168 |HD 199579                          |Y*O|20 56 34.7779063080 +44 55 29.000891928|5.16     |6.01     |5.96     |     ~   |     ~   |O6.5V((f))z          | 372 |   0
169 |HD 200753                          |PM*|21 03 43.4666539464 +46 51 47.293431372|     ~   |6.563    |6.310    |     ~   |     ~   |F0IVn                |  24 |   0
170 |HD 204411                          |a2*|21 26 51.6219389280 +48 50 06.599806584|5.54     |5.38     |5.31     |     ~   |     ~   |A4VpSiCrHg           | 187 |   0
171 |HD 204153                          |PM*|21 25 19.5488561064 +46 42 51.628763376|     ~   |5.907    |5.580    |5.4      |     ~   |F0V                  |  74 |   0
